year,count_date,DOY,Chinook,Chum,Coho,Dolly,Pink,Sockeye,Steelhead
2014,6/8/2014,159,0,NA,NA,7,NA,3823,1
2014,6/9/2014,160,0,NA,NA,14,NA,1847,4
2014,6/10/2014,161,2,NA,NA,8,NA,1803,2
2014,6/11/2014,162,0,NA,NA,5,NA,1621,1
2014,6/12/2014,163,3,NA,NA,11,NA,5401,5
2014,6/13/2014,164,3,3,NA,15,NA,3462,3
2014,6/14/2014,165,2,1,NA,9,NA,906,1
2014,6/15/2014,166,0,1,NA,58,NA,1471,2
2014,6/16/2014,167,0,1,NA,35,NA,1759,0
2014,6/17/2014,168,0,2,NA,11,NA,240,5
2014,6/18/2014,169,3,4,NA,230,NA,6390,0
2014,6/19/2014,170,0,0,NA,115,NA,674,1
2014,6/20/2014,171,6,13,NA,847,NA,14100,2
2014,6/21/2014,172,0,0,NA,76,NA,1058,1
2014,6/22/2014,173,0,5,NA,278,NA,5199,1
2014,6/23/2014,174,1,2,NA,227,NA,2418,0
2014,6/24/2014,175,1,27,NA,577,NA,8090,0
2014,6/25/2014,176,3,56,NA,856,NA,11728,0
2014,6/26/2014,177,1,9,NA,127,NA,2831,0
2014,6/27/2014,178,3,66,NA,554,NA,12500,0
2014,6/28/2014,179,0,0,NA,92,NA,1641,0
2014,6/29/2014,180,0,10,NA,136,NA,2883,0
2014,6/30/2014,181,0,7,NA,83,NA,2318,0
2014,7/1/2014,182,0,4,NA,46,NA,1789,0
2014,7/2/2014,183,1,19,NA,190,4,3296,1
2014,7/3/2014,184,2,56,NA,159,6,7219,0
2014,7/4/2014,185,0,47,NA,122,1,2521,0
2014,7/5/2014,186,1,31,NA,144,5,2725,3
2014,7/6/2014,187,0,26,NA,101,9,3415,0
2014,7/7/2014,188,1,108,NA,91,16,6722,0
2014,7/8/2014,189,2,38,NA,31,24,5438,3
2014,7/9/2014,190,0,24,NA,24,25,4603,1
2014,7/10/2014,191,0,127,NA,85,17,4521,0
2014,7/11/2014,192,0,87,NA,136,21,3203,1
2014,7/12/2014,193,0,50,NA,114,30,3208,0
2014,7/13/2014,194,0,11,NA,17,8,1064,0
2014,7/14/2014,195,1,131,NA,49,57,3800,0
2014,7/15/2014,196,0,34,NA,57,37,6513,0
2014,7/16/2014,197,0,49,NA,25,37,5270,0
2014,7/17/2014,198,0,38,NA,28,6,1334,0
2014,7/18/2014,199,0,26,NA,38,21,2310,0
2014,7/19/2014,200,0,41,NA,30,39,1385,0
2014,7/20/2014,201,0,94,NA,20,108,4417,0
2014,7/21/2014,202,0,25,NA,12,189,3039,1
2014,7/22/2014,203,0,15,NA,23,128,1871,0
2014,7/23/2014,204,0,17,NA,15,43,2103,0
2014,7/24/2014,205,0,12,NA,8,22,911,0
2014,7/25/2014,206,0,7,NA,1,19,616,0
2014,7/26/2014,207,0,15,NA,14,52,1333,0
2014,7/27/2014,208,0,14,NA,22,175,2847,0
2014,7/28/2014,209,0,11,NA,19,143,1382,0
2014,7/29/2014,210,0,7,NA,10,27,631,0
2014,7/30/2014,211,0,0,NA,1,60,848,0
2014,7/31/2014,212,0,0,NA,26,76,1651,0
2014,8/1/2014,213,0,7,NA,12,946,3333,0
2014,8/2/2014,214,0,5,NA,39,5944,2513,0
2014,8/3/2014,215,0,0,NA,36,2117,733,0
2014,8/4/2014,216,0,6,2,35,8721,2463,0
2014,8/5/2014,217,0,1,3,58,7714,1783,1
2014,8/6/2014,218,0,0,6,22,6096,2143,0
2014,8/7/2014,219,0,4,22,51,14948,3052,0
2014,8/8/2014,220,0,1,12,12,4123,869,0
2014,8/9/2014,221,0,0,14,16,1889,294,0
2014,8/10/2014,222,0,1,51,7,1928,802,0
2014,8/11/2014,223,0,1,31,4,1268,771,0
2014,8/12/2014,224,0,1,56,15,3990,1280,0
2014,8/13/2014,225,0,0,61,9,3201,1544,0
2014,8/14/2014,226,0,0,58,9,3558,353,0
2014,8/15/2014,227,0,2,91,14,3878,639,0
2014,8/16/2014,228,0,1,87,6,4125,487,0
2014,8/17/2014,229,0,0,234,5,6733,368,0
2014,8/18/2014,230,0,2,135,NA,2768,348,0
2014,8/19/2014,231,NA,NA,NA,NA,NA,0,NA
2015,5/27/2015,147,NA,NA,NA,NA,NA,0,NA
2015,5/28/2015,148,NA,NA,NA,NA,NA,0,4
2015,5/29/2015,149,NA,NA,NA,NA,NA,1,1
2015,5/30/2015,150,NA,NA,NA,NA,NA,2,1
2015,5/31/2015,151,NA,NA,NA,0,NA,0,3
2015,6/1/2015,152,NA,NA,NA,7,NA,123,2
2015,6/2/2015,153,NA,NA,NA,0,NA,0,3
2015,6/3/2015,154,NA,NA,NA,0,NA,0,8
2015,6/4/2015,155,NA,NA,NA,0,NA,0,3
2015,6/5/2015,156,NA,NA,NA,0,NA,0,5
2015,6/6/2015,157,NA,NA,NA,0,NA,0,5
2015,6/7/2015,158,NA,NA,NA,1,NA,17,3
2015,6/8/2015,159,7,6,NA,6,NA,5742,13
2015,6/9/2015,160,3,2,NA,26,NA,1942,43
2015,6/10/2015,161,0,2,NA,44,NA,6647,4
2015,6/11/2015,162,0,2,NA,12,NA,4100,4
2015,6/12/2015,163,2,4,NA,20,NA,6900,10
2015,6/13/2015,164,2,3,NA,23,NA,5561,15
2015,6/14/2015,165,0,1,NA,15,NA,4011,9
2015,6/15/2015,166,1,0,NA,17,NA,3493,4
2015,6/16/2015,167,2,0,NA,14,NA,2417,4
2015,6/17/2015,168,4,1,NA,12,NA,2923,3
2015,6/18/2015,169,9,0,NA,26,NA,7855,4
2015,6/19/2015,170,6,4,NA,15,0,4329,10
2015,6/20/2015,171,2,1,NA,12,7,2788,4
2015,6/21/2015,172,2,2,NA,7,5,2790,8
2015,6/22/2015,173,0,4,NA,5,20,3149,5
2015,6/23/2015,174,3,7,NA,13,9,1245,1
2015,6/24/2015,175,1,1,NA,21,10,2200,1
2015,6/25/2015,176,2,2,NA,47,18,2371,0
2015,6/26/2015,177,4,12,NA,74,88,7306,1
2015,6/27/2015,178,3,7,NA,57,49,5259,2
2015,6/28/2015,179,0,9,NA,35,49,2933,0
2015,6/29/2015,180,1,3,NA,39,29,1303,3
2015,6/30/2015,181,1,3,NA,64,86,1886,0
2015,7/1/2015,182,2,17,NA,59,51,2003,4
2015,7/2/2015,183,1,4,NA,254,188,2902,1
2015,7/3/2015,184,5,4,NA,244,579,3658,2
2015,7/4/2015,185,2,23,NA,183,1047,3130,1
2015,7/5/2015,186,0,20,NA,210,1238,5108,0
2015,7/6/2015,187,4,487,NA,348,4484,7543,0
2015,7/7/2015,188,1,49,NA,115,5267,5056,0
2015,7/8/2015,189,1,20,NA,108,4902,4890,0
2015,7/9/2015,190,1,18,NA,147,6113,2440,0
2015,7/10/2015,191,0,40,NA,463,12859,1958,0
2015,7/11/2015,192,0,30,NA,345,12597,3440,0
2015,7/12/2015,193,0,33,NA,243,8909,3669,0
2015,7/13/2015,194,1,294,NA,237,11188,5461,0
2015,7/14/2015,195,1,213,NA,149,12135,7410,0
2015,7/15/2015,196,2,59,NA,99,13399,5680,0
2015,7/16/2015,197,1,58,NA,15,5158,2797,0
